code,CCS,coding_system
0TFBXZZ,107,ICDPROC10
0TFC0ZZ,107,ICDPROC10
0TFC3ZZ,107,ICDPROC10
0TFC4ZZ,107,ICDPROC10
0TFC7ZZ,107,ICDPROC10
0TFC8ZZ,107,ICDPROC10
0TFCXZZ,107,ICDPROC10
0TFD0ZZ,107,ICDPROC10
0TFD3ZZ,107,ICDPROC10
0TFD4ZZ,107,ICDPROC10
0TFD7ZZ,107,ICDPROC10
0TFD8ZZ,107,ICDPROC10
0TFDXZZ,107,ICDPROC10
0WFRXZZ,107,ICDPROC10
0T9B70Z,108,ICDPROC10
0T9B80Z,108,ICDPROC10
0T9C70Z,108,ICDPROC10
0T9C80Z,108,ICDPROC10
0T5D0ZZ,109,ICDPROC10
0T5D3ZZ,109,ICDPROC10
0T5D4ZZ,109,ICDPROC10
0T5D7ZZ,109,ICDPROC10
0T5D8ZZ,109,ICDPROC10
0T5DXZZ,109,ICDPROC10
0T7D0DZ,109,ICDPROC10
0T7D0ZZ,109,ICDPROC10
0T7D3DZ,109,ICDPROC10
0T7D3ZZ,109,ICDPROC10
0T7D4DZ,109,ICDPROC10
0T7D4ZZ,109,ICDPROC10
0T7D7DZ,109,ICDPROC10
0T7D7ZZ,109,ICDPROC10
0T7D8DZ,109,ICDPROC10
0T7D8ZZ,109,ICDPROC10
0T9D00Z,109,ICDPROC10
0T9D0ZZ,109,ICDPROC10
0T9D30Z,109,ICDPROC10
0T9D3ZZ,109,ICDPROC10
0T9D40Z,109,ICDPROC10
0T9D4ZZ,109,ICDPROC10
0T9D70Z,109,ICDPROC10
0T9D7ZZ,109,ICDPROC10
0T9D80Z,109,ICDPROC10
0T9D8ZZ,109,ICDPROC10
0T9DX0Z,109,ICDPROC10
0T9DXZZ,109,ICDPROC10
0TBD0ZZ,109,ICDPROC10
0TBD3ZZ,109,ICDPROC10
0TBD4ZZ,109,ICDPROC10
0TBD7ZZ,109,ICDPROC10
0TBD8ZZ,109,ICDPROC10
0TBDXZZ,109,ICDPROC10
0TCD0ZZ,109,ICDPROC10
0TCD3ZZ,109,ICDPROC10
0TCD4ZZ,109,ICDPROC10
0TCD7ZZ,109,ICDPROC10
0TCD8ZZ,109,ICDPROC10
0TCDXZZ,109,ICDPROC10
0THD03Z,109,ICDPROC10
0THD0LZ,109,ICDPROC10
0THD33Z,109,ICDPROC10
0THD3LZ,109,ICDPROC10
0THD43Z,109,ICDPROC10
0THD4LZ,109,ICDPROC10
0THD73Z,109,ICDPROC10
0THD7LZ,109,ICDPROC10
0THD83Z,109,ICDPROC10
0THD8LZ,109,ICDPROC10
0THDX3Z,109,ICDPROC10
0THDXLZ,109,ICDPROC10
0TLD0CZ,109,ICDPROC10
0TLD0DZ,109,ICDPROC10
0TLD0ZZ,109,ICDPROC10
0TLD3CZ,109,ICDPROC10
0TLD3DZ,109,ICDPROC10
0TLD3ZZ,109,ICDPROC10
0TLD4CZ,109,ICDPROC10
0TLD4DZ,109,ICDPROC10
0TLD4ZZ,109,ICDPROC10
0TLD7DZ,109,ICDPROC10
0TLD7ZZ,109,ICDPROC10
0TLD8DZ,109,ICDPROC10
0TLD8ZZ,109,ICDPROC10
0TLDXCZ,109,ICDPROC10
0TLDXDZ,109,ICDPROC10
0TLDXZZ,109,ICDPROC10
0TMD0ZZ,109,ICDPROC10
0TMD4ZZ,109,ICDPROC10
0TND0ZZ,109,ICDPROC10
0TND3ZZ,109,ICDPROC10
0TND4ZZ,109,ICDPROC10
0TND7ZZ,109,ICDPROC10
0TND8ZZ,109,ICDPROC10
0TNDXZZ,109,ICDPROC10
0TPD00Z,109,ICDPROC10
0TPD02Z,109,ICDPROC10
0TPD03Z,109,ICDPROC10
0TPD07Z,109,ICDPROC10
0TPD0CZ,109,ICDPROC10
0TPD0DZ,109,ICDPROC10
0TPD0JZ,109,ICDPROC10
0TPD0KZ,109,ICDPROC10
0TPD0LZ,109,ICDPROC10
0TPD30Z,109,ICDPROC10
0TPD32Z,109,ICDPROC10
0TPD33Z,109,ICDPROC10
0TPD37Z,109,ICDPROC10
0TPD3CZ,109,ICDPROC10
0TPD3DZ,109,ICDPROC10
0TPD3JZ,109,ICDPROC10
0TPD3KZ,109,ICDPROC10
0TPD3LZ,109,ICDPROC10
0TPD40Z,109,ICDPROC10
0TPD42Z,109,ICDPROC10
0TPD43Z,109,ICDPROC10
0TPD47Z,109,ICDPROC10
0TPD4CZ,109,ICDPROC10
0TPD4DZ,109,ICDPROC10
0TPD4JZ,109,ICDPROC10
0TPD4KZ,109,ICDPROC10
0TPD4LZ,109,ICDPROC10
0TPD70Z,109,ICDPROC10
